"";"TCGA-2J-AAB6";"TCGA-2J-AAB8";"TCGA-2J-AAB9";"TCGA-2J-AABA";"TCGA-2J-AABE";"TCGA-2J-AABF";"TCGA-2J-AABK";"TCGA-2J-AABO";"TCGA-2J-AABR";"TCGA-2J-AABT";"TCGA-2J-AABU";"TCGA-2J-AABV";"TCGA-2L-AAQA";"TCGA-2L-AAQE";"TCGA-2L-AAQI";"TCGA-2L-AAQJ";"TCGA-2L-AAQL";"TCGA-3A-A9I5";"TCGA-3A-A9I7";"TCGA-3A-A9I9";"TCGA-3A-A9IB";"TCGA-3A-A9IC";"TCGA-3A-A9IH";"TCGA-3A-A9IU";"TCGA-3A-A9IX";"TCGA-3A-A9IZ";"TCGA-3A-A9J0";"TCGA-3E-AAAY";"TCGA-3E-AAAZ";"TCGA-F2-6880";"TCGA-F2-7273";"TCGA-F2-7276";"TCGA-F2-A44G";"TCGA-F2-A44H";"TCGA-F2-A7TX";"TCGA-F2-A8YN";"TCGA-FB-A4P5";"TCGA-FB-A4P6";"TCGA-FB-A545";"TCGA-FB-A5VM";"TCGA-FB-A78T";"TCGA-FB-AAPP";"TCGA-FB-AAPQ";"TCGA-FB-AAPS";"TCGA-FB-AAPU";"TCGA-FB-AAPY";"TCGA-FB-AAPZ";"TCGA-FB-AAQ0";"TCGA-FB-AAQ1";"TCGA-FB-AAQ2";"TCGA-FB-AAQ3";"TCGA-FB-AAQ6";"TCGA-H6-8124";"TCGA-HV-A5A3";"TCGA-HV-A5A4";"TCGA-HV-A5A5";"TCGA-HV-A5A6";"TCGA-HV-A7OL";"TCGA-HV-AA8V";"TCGA-HV-AA8X";"TCGA-HZ-7918";"TCGA-HZ-7919";"TCGA-HZ-7920";"TCGA-HZ-7922";"TCGA-HZ-7923";"TCGA-HZ-7924";"TCGA-HZ-7925";"TCGA-HZ-7926";"TCGA-HZ-8001";"TCGA-HZ-8002";"TCGA-HZ-8003";"TCGA-HZ-8005";"TCGA-HZ-8315";"TCGA-HZ-8317";"TCGA-HZ-8636";"TCGA-HZ-8637";"TCGA-HZ-A49G";"TCGA-HZ-A49H";"TCGA-HZ-A49I";"TCGA-HZ-A4BH";"TCGA-HZ-A77O";"TCGA-HZ-A8P0";"TCGA-HZ-A8P1";"TCGA-IB-7644";"TCGA-IB-7645";"TCGA-IB-7646";"TCGA-IB-7647";"TCGA-IB-7649";"TCGA-IB-7651";"TCGA-IB-7652";"TCGA-IB-7654";"TCGA-IB-7885";"TCGA-IB-7886";"TCGA-IB-7887";"TCGA-IB-7888";"TCGA-IB-7889";"TCGA-IB-7890";"TCGA-IB-7891";"TCGA-IB-7893";"TCGA-IB-7897";"TCGA-IB-8126";"TCGA-IB-8127";"TCGA-IB-A5SO";"TCGA-IB-A5SP";"TCGA-IB-A5SQ";"TCGA-IB-A5SS";"TCGA-IB-A5ST";"TCGA-IB-A6UF";"TCGA-IB-A6UG";"TCGA-IB-A7LX";"TCGA-IB-A7M4";"TCGA-IB-AAUM";"TCGA-IB-AAUN";"TCGA-IB-AAUO";"TCGA-IB-AAUP";"TCGA-IB-AAUQ";"TCGA-IB-AAUR";"TCGA-IB-AAUS";"TCGA-IB-AAUU";"TCGA-IB-AAUV";"TCGA-IB-AAUW";"TCGA-L1-A7W4";"TCGA-LB-A7SX";"TCGA-LB-A8F3";"TCGA-LB-A9Q5";"TCGA-M8-A5N4";"TCGA-OE-A75W";"TCGA-PZ-A5RE";"TCGA-Q3-A5QY";"TCGA-Q3-AA2A";"TCGA-RB-AA9M";"TCGA-RL-AAAS";"TCGA-S4-A8RM";"TCGA-S4-A8RO";"TCGA-S4-A8RP";"TCGA-US-A774";"TCGA-US-A779";"TCGA-US-A77G";"TCGA-US-A77J";"TCGA-XD-AAUG";"TCGA-XD-AAUH";"TCGA-XD-AAUI";"TCGA-XD-AAUL";"TCGA-XN-A8T3";"TCGA-YB-A89D";"TCGA-YY-A8LH";"TCGA-Z5-AAPL"
"A1BG";82,5497;56,9307;105,7878;99,3455;79,4019;92,7368;110,9845;61,4904;102,6345;43,5419;54,5852;105,5118;65,1036;124,1752;50,3537;91,5297;223,1418;158,4094;67,4598;143,4731;91,5812;138,2272;89,2498;71,0325;103,804;39,2193;35,474;119,9122;35,4488;72,2307;76,5828;56,1554;88,0022;124,1611;49,8197;97,6726;191,4945;84,0395;72,5965;140,8659;74,4403;7,0249;61,8426;297,6966;29,6613;110,5146;44,5764;47,8342;114,7589;72,6477;184,6741;53,7465;63,9293;118,9951;89,6668;103,911;52,9979;136,6297;179,6363;73,1705;12,1636;27,1172;79,2071;24,8394;90,6329;25,2943;52,1148;35,4078;79,3211;41,3761;45,6529;35,8215;49,5381;44,3482;89,2878;87,0829;111,6083;152,7681;123,2293;83,4461;68,0611;156,1406;43,6108;26,5368;35,2225;14,2487;24,046;38,1212;44,6239;55,3353;30,332;46,5184;19,1257;32,9333;69,5762;71,1042;71,0398;51,1032;53,1822;50,6578;150,2069;58,0198;121,8404;34,52;211,4357;92,5629;269,9257;70,0495;61,0117;35,5519;76,0233;112,1505;60,2024;87,7901;109,4091;151,9834;186,3706;218,5595;61,3038;206,8033;76,8659;133,1325;65,2209;80,1218;105,7502;37,9092;265,5958;143,3148;283,2625;72,646;99,5365;190,0482;39,6258;78,2303;116,0879;123,1832;87,4792;37,8731;251,6991;192,973;135,0495;141,4958;101,9751;132,0253;156,8859;65,8274;120,8775
"A1CF";8,1871;33,8425;21,4362;18,7882;3,0831;112,3416;120,8083;24,8397;72,3562;23,1539;8,7336;53,5433;38,2063;2,317;26,236;17,8218;36,8701;183,0732;165,2578;36,8272;49,5818;2,4691;4,259;8,348;35,9367;6,6914;4,7531;50,2194;3,3657;181,6508;209,7139;54,2532;39,1832;19,0157;14,5119;1,03;15,9797;178,4741;4,542;5,2165;12,0682;113,3716;173,206;2,7586;176,0904;86,1322;28,2404;92,9566;17,4869;5,1187;44,3044;128,6385;7,8264;4,672;59,6454;60,6586;7,4946;67,1596;6,3046;3,458;16,7689;78,4283;130,6903;8,5653;102,3857;310,7232;15,6887;208,8336;42,5358;166,1319;109,0718;12,9366;24,2332;67,7966;32,8585;45,1489;33,3698;34,3585;20,3548;74,874;22,6963;33,2455;332,9341;47,2393;22,4532;2,5381;25,6142;100,7488;12,4898;55,1285;57,7102;8,3914;108,1164;23,1234;79,2515;17,7173;19,4728;43,744;2,6237;97,94;83,0251;49,4723;13,1732;28,4283;32,84;0,7591;30,581;12,0459;15,0301;8,2658;23,3325;44,4444;15,7392;1,4756;21,9997;58,6735;7,6646;8,3293;116,3187;23,6025;88,8714;0,4272;1,8555;127,4112;65,7684;18,3802;43,6941;38,756;2,1274;71,3771;106,0086;29,4748;142,6195;21,1801;85,7597;27,7895;83,1264;38,3387;46,894;43,2432;42,6861;85,686;89,3971;21,097;73,9979;29,9857;3,9886
"A2BP1";0;0;1,0718;0;0;3,1895;3,0095;1,6026;1,2369;2,5031;0;0;0;0,9268;2,4293;0;0;1,2005;2,1133;2,8329;0;1,9753;0,7744;1,3181;0,4084;0;0;2,9254;1,1219;1,2274;4,5243;2,6792;1,1038;0;0,4398;0,515;1,4527;0,6812;0;0;1,2484;37,5587;2,6923;0;1,5018;0,5417;0;0;0,9993;0,9307;0;0,939;1,6477;0,7787;0,5373;1,7331;0,5353;0,6161;0,485;0,4322;0,818;1,1883;3,7609;0,4283;4,3075;2,7431;0,9413;1,5155;1,636;6,4171;2,0975;0;0,7573;1,0195;5,2434;3,5223;0;3,8792;1,6504;0,9599;0;0,6649;0;0,3067;0,4158;0,5076;0,7841;4,7651;0,2715;0,265;1,2411;0,6713;0;0;7,705;1,2361;0;0,8577;0,3748;11,5649;4,1169;1,2951;0,3874;0,5076;0,4901;0,3795;2,6212;0,4818;0,5368;3,6737;0,5072;1,4337;2,2485;1,4756;0;1,2755;0,9017;0,49;3,4086;0,8282;2,7527;0,4272;0;1,0152;0,9135;0;0;0;0;0,721;0,4292;1,0718;1,6632;0,5043;0,5294;0;1,5114;0,4564;0,609;2,027;10,9318;2,4765;0,8316;0;1,0277;3,9687;0
"A2LD1";163,1228;185,8143;166,7095;99,2767;134,5645;112,976;138,1857;205,3365;90,5009;117,184;63,6463;285,5118;337,1003;82,8684;140,0371;82,0446;277,7937;201,0804;140,2832;179,915;65,0166;90,8988;158,6139;99,6573;126,8811;111,7175;110,5677;163,1009;177,7188;486,8365;61,0193;74,3269;95,6954;123,8479;131,4556;102,9258;105,7273;87,1049;89,8335;138,5342;116,1506;61,1998;77,2966;113,2345;209,326;97,5894;69,761;160,5544;86,71;247,2732;168,1238;173,3897;165,2728;33,132;143,0414;91,8198;210,2998;216,3031;195,8826;122,8182;102,0573;104,9077;72,6412;73,9786;87,0676;138,9252;124,9984;122,5753;133,3701;80,1105;165,8521;67,887;124,2446;128,4414;72,439;88,2485;94,8031;126,7498;83,0202;50,372;126,9441;67,3819;184,6108;303,7883;114,1871;82,2487;85,5985;118,2982;109,2479;254,5773;114,6509;77,9089;111,1112;89,0987;110,3963;197,2765;72,3466;214,7271;65,4948;72,4792;262,3114;84,3903;169,1437;102,5296;119,9003;77,1686;73,8357;58,7697;140,4782;138,3917;99,0718;232,086;175,7336;79,684;94,3084;108,2653;114,1839;107,3934;74,738;109,6894;146,4451;40,2649;162,4957;294,4975;214,67;93,9805;247,6365;179,2136;116,8875;86,5105;107,5751;154,2176;178,2869;110,5805;128,1048;132,7916;167,482;164,8745;111,4251;66,6216;88,4279;158,42;67,4304;104,52;104,0904;120,9525;106,7749
"A2ML1";1815,7895;16,9213;642,015;873,6496;74,6108;13,4668;6,4488;258,8141;45,7638;0;905,0218;0;3,2174;185,8202;2903,9373;1,9802;1,9405;0,6002;629,3322;0;1,6124;6,4198;330,2681;3030,3163;62,0725;964,3123;8,45;8,7762;1972,7001;1,2274;0,7984;0,3349;315,6733;4,4743;76,9569;20,6006;4,3581;4,7684;309,6139;810,12;0,4161;0;0;5,5172;2,2528;190,1408;28,9645;1,1842;4913,315;11719,8697;13,5166;0;223,2582;474,9836;0,5373;1,1554;28,9079;162,6617;510,1843;9,5094;2,454;3,5649;1,8804;0;11,2657;0;0,6275;6,365;513,2924;1,0695;33,0362;0;609,9962;62,6991;13,6328;8,0051;0,547;3,325;0;2,3998;229,7304;333,1195;0,5988;0,6135;0;165,9898;370,6221;117,0865;5,7019;0,265;20,7881;83,2424;1,1301;1,4014;0;799,7528;629,2789;0,4289;1147,3013;20,9613;0;211,0989;31,3832;1,0153;39,7021;1504,1275;1,7475;0,9637;322,6114;1454,3133;202,384;1,4337;86,5655;460,3966;10,9999;47,8316;0,9017;94,5615;3,8347;2,4845;1,5729;251,6288;590,0499;2,5381;33,7977;6,3182;0,4965;53,1864;42,0152;0,721;227,897;0,5359;2,079;13,1115;0,5294;329,6842;24,686;0;0,609;10,8108;1,0411;10,8965;12,8898;0,5274;7,1942;8,8193;35,3276
"A2M";8517,4444;14413,913;24311,7792;10302,0072;11076,8614;18795,9458;11778,2502;24191,4503;21647,415;26281,8773;10099,2358;11981,9528;5689,073;7511,9833;11823,0964;15670,2079;21249,9357;8338,8415;14601,7751;14472,3059;25058,8693;12240,884;13373,1875;9919,0773;21113,4252;6585,0855;11854,6976;29675,0804;14683,923;17341,1844;47982,0945;29427,6021;9930,436;23090,5369;9838,1266;7541,2913;20623,8678;20171,6553;10937,1537;16176,5936;9951,6022;1767,9847;7415,4791;32783,8552;6172,8764;15200,195;18055,7133;4333,2879;10700,7145;8090,6189;12158,5871;7705,9531;8333,7463;5786,9816;16519,065;17682,7903;6843,1317;9046,5126;16374,1804;6950,9056;33310,7607;15092,1651;31976,0025;22328,8266;28422,9788;29222,9052;18625,9021;10885,9682;29803,5174;27968,8627;20570,9386;7068,508;21595,5017;21780,39;15904,1195;13814,1819;23175,0164;21368,767;22832,6117;20200,6192;10129,0587;15313,98;6971,1916;12653,9172;31855,6175;16743,5939;26164,3126;37908,3799;40229,6715;23547,2489;16443,6209;20869,5846;16527,8075;9274,1596;37276,6208;21809,1141;20560,1453;28796,7106;12843,9768;31954,9404;20809,0079;13915,374;24928,9694;7847,7006;33210,9382;15446,9532;29040,0218;9212,5576;8214,8882;4657,683;4824,139;15056,3082;12850,3654;6114,7745;20726,2595;18316,7857;25304,6844;22764,5027;10871,6702;25995,5611;21216,0873;8110,1955;5437,9126;20510,0609;20881,4158;14937,938;10474,3793;9937,1204;17434,6184;8807,2603;17075,0043;34580,2572;9596,1746;12435,1661;20186,6914;16851,28;9206,7126;6687,6495;23211,0414;27767,3514;23815,5128;20787,3452;22677,6549;18811,5876;23524,5683;4471,2821;10193,6752
"A4GALT";1121,0526;392,9495;1125,4019;633,1611;710,3438;332,4178;226,9991;407,8526;1449,598;699,6245;1484,7162;505,5118;400,1609;379,9815;429,979;1068,3168;643,6099;683,6735;704,142;266,289;1060,5664;968,3951;806,1175;1480,6678;347,9326;1002,974;393,9794;707,4598;679,5064;250,3836;559,6806;564,635;712,4724;550,3356;1226,9129;1154,6642;1036,499;529,2916;420,8933;6401,6693;287,5572;117,5448;408,3354;1068,2759;82,9765;621,8852;979,0007;371,2344;292,2808;1818,0549;509,8756;170,892;1327,1917;2067,3464;472,8641;535,5286;750;477,5108;840,9311;187,5946;112,0654;241,6224;253,8588;734,4754;573,5586;281,7955;471,6034;356,7448;528,0164;269,1622;256,4237;677,4472;496,4029;542,3729;477,1476;378,4822;693,1072;612,358;896,713;431,4855;421,8183;774,6191;171,2575;168,0982;309,7713;641,1168;166,7538;283,8666;383,3831;377,4185;391,5607;797,1805;612,1571;718,9279;254,8156;257,5196;560,6117;298,4883;216,2669;246,1149;351,313;704,7853;715,2267;146,2025;1100,385;2189,9611;1222,8047;798,886;725,2046;2266,194;1357,8494;350,5376;1282,7431;423,5058;500,7139;703,4439;833,183;894,1695;577,7588;706,8323;474,243;886,468;1063,6669;1184,264;401,0048;708,7881;1070,0099;759,0407;628,6331;871,6655;288,412;636,6559;131,8087;775,0922;370,0371;580,6316;150,635;227,7499;709,5006;489,8649;554,3988;738,4844;1000,4158;719,4093;861,2539;306,0302;524,7863
"A4GNT";1,1696;9,4007;50,3751;6,2627;35,1472;118,3663;667,6698;221,9551;54,4218;21,9024;1,0917;110,2362;22,9238;0,4634;48,0993;214,3564;6,4684;25,8103;239,645;65,1558;6,8528;1,4815;20,1336;57,5571;157,6314;8,9219;28,5186;161,3847;77,4121;105,5539;10,9115;32,4849;2,7594;33,557;14,5119;4,1201;36,3174;139,6458;2,271;1,0433;866,417;0;103,2057;39,3103;84,1029;183,0986;15,9305;66,9051;32,9753;0;42,8025;59,1549;16,8885;0,7787;56,9586;281,918;8,5653;8,626;47,0417;466,8252;213,4969;14,6558;1,8804;5,1392;10,603;454,1147;2,1964;23,3384;8,18;50,2674;58,731;0,4312;33,6994;167,1977;31,1107;264,4893;171,7724;1274,5913;74,2676;93,5925;30,4462;23,2718;149,1018;288,6503;20,3742;0;123,8892;62,6276;7,331;37,3708;33,1989;6,0418;9,4178;2,1021;110,6219;37,0828;3,5871;94,3497;0;56,0173;560,5912;6,4754;379,6978;57,8718;0,9803;1,8977;4,8056;26,501;137,4185;0,9184;130,3576;484,5878;172,5689;27,0532;33,8796;13,3929;14,8783;6,8594;66,4678;4,5549;301,219;0,4272;42,6766;9,6447;117,8351;3,4463;461,7676;3,7107;4,2547;713,0497;12,8755;15,0054;98,9605;12,1029;107,4643;152,4211;195,4729;52,031;1,218;514,1892;16,658;36,6518;20,79;48,5232;20,0411;99,2173;4,5584
"AAA1";1,1696;0,9401;0;18,7882;0;5,6702;1,7197;1,6026;1,2369;1,8773;0;0;7,2391;0;4,8585;0,9901;4,5279;3,0012;0,4227;1,6997;2,8217;0;6,5821;1,3181;1,2251;0;1,0562;0,4876;0;0;1,5968;0,3349;0,5519;0;0,4398;0;0;2,0436;0,757;0;0,4161;0;4,4872;0,6897;3,0037;1,0834;4,3447;15,9862;5,4959;7,4453;6,0074;8,4507;0,8238;0,7787;0;0;0;0;1,4549;0;1,227;4,3571;6,2681;0,8565;0,6627;0,2494;1,2551;0,6062;1,636;1,426;0;6,0371;0,3786;1,0195;0,3496;1,2808;0;0;0,5501;0,48;0;6,6491;2,994;2,454;2,079;1,0152;1,5682;4,0844;6,7879;2,1203;2,1719;2,0139;0;0,3504;2,7518;0;0,5124;1,2866;0;2,1684;0;0,7771;0;1,0153;4,9015;0;0;0;0,5368;0,4592;0,5072;1,4337;5,059;1,9675;0;0,6378;0;0,9799;0;0;0,3932;0;0;0;0,9135;2,2975;1,4896;0,8246;0;15,1406;0,8584;0;14,9688;5,5472;2,1175;0;7,0531;0,9128;1,218;1,3514;3,6439;0;3,3264;0,5274;3,5971;3,5277;0
"AAAS";834,5029;801,8801;862,8081;623,767;702,3277;651,7232;793,2072;745,9936;687,0748;677,7222;520,7424;1000;674,442;702,5023;468,3613;499,505;699,8853;1184,8739;672,4429;699,1501;755,8198;620,2469;660,9234;607,645;629,3007;620,8178;611,0378;754,2662;635,7517;800,2455;436,4604;514,4005;605,9603;872,4832;921,2841;416,1323;694,389;648,5014;651,022;796,5571;803,5789;934,0984;541,1566;751,7241;574,4526;867,2806;645,1846;960,9464;890,3323;544,9046;628,5211;775,5869;474,5266;816,816;993,0145;729,0583;750,5353;853,9741;750,7274;424,4651;521,4724;577,9133;497,0618;580,7281;554,3406;571,8204;533,417;454,0388;839,6728;655,2585;494,494;831,8241;598,6369;540,8436;410,0323;617,0349;746,7177;721,5295;1061,202;762,659;652,1023;607,062;743,1138;543,865;412,474;595,4315;464,7151;561,6065;477,3283;404,4527;589,2026;496,098;525,5133;429,8853;431,4805;704,9856;435,5758;556,6635;440,4048;423,5634;557,8466;596,5162;795,4281;549,7825;623,96;351,836;573,6129;799,8497;715,0056;624,5236;852,143;769,1756;468,8027;770,7707;725,9911;920,2806;695,2209;695,2474;567,9591;531,2629;611,4825;581,8648;778,8473;831,9797;693,309;654,2217;1089,8709;681,1163;715,8546;968,9978;664,3777;750,268;528,4823;647,507;719,9576;560;851,9192;621,634;763,0938;632,4324;608,5372;664,1902;648,2328;742,0886;602,7749;769,9261;777,208
