,clusters
TCGA-2J-AAB6,1
TCGA-2J-AAB8,0
TCGA-2J-AAB9,1
TCGA-2J-AABA,1
TCGA-2J-AABE,1
TCGA-2J-AABF,1
TCGA-2J-AABK,1
TCGA-2J-AABO,0
TCGA-2J-AABR,1
TCGA-2J-AABT,0
TCGA-2J-AABU,0
TCGA-2J-AABV,1
TCGA-2L-AAQA,1
TCGA-2L-AAQE,1
TCGA-2L-AAQI,1
TCGA-2L-AAQJ,1
TCGA-2L-AAQL,0
TCGA-3A-A9I5,1
TCGA-3A-A9I7,0
TCGA-3A-A9I9,0
TCGA-3A-A9IB,1
TCGA-3A-A9IC,1
TCGA-3A-A9IH,1
TCGA-3A-A9IU,1
TCGA-3A-A9IX,0
TCGA-3A-A9IZ,1
TCGA-3A-A9J0,1
TCGA-3E-AAAY,1
TCGA-3E-AAAZ,1
TCGA-F2-6880,1
TCGA-F2-7273,0
TCGA-F2-7276,1
TCGA-F2-A44G,0
TCGA-F2-A44H,1
TCGA-F2-A7TX,0
TCGA-F2-A8YN,0
TCGA-FB-A4P5,1
TCGA-FB-A4P6,1
TCGA-FB-A545,0
TCGA-FB-A5VM,0
TCGA-FB-A78T,0
TCGA-FB-AAPP,1
TCGA-FB-AAPQ,1
TCGA-FB-AAPS,1
TCGA-FB-AAPU,1
TCGA-FB-AAPY,1
TCGA-FB-AAPZ,1
TCGA-FB-AAQ0,1
TCGA-FB-AAQ1,1
TCGA-FB-AAQ2,1
TCGA-FB-AAQ3,0
TCGA-FB-AAQ6,1
TCGA-H6-8124,0
TCGA-HV-A5A3,0
TCGA-HV-A5A4,1
TCGA-HV-A5A5,1
TCGA-HV-A5A6,1
TCGA-HV-A7OL,1
TCGA-HV-AA8V,1
TCGA-HV-AA8X,1
TCGA-HZ-7918,1
TCGA-HZ-7919,1
TCGA-HZ-7920,0
TCGA-HZ-7922,0
TCGA-HZ-7923,0
TCGA-HZ-7924,1
TCGA-HZ-7925,0
TCGA-HZ-7926,1
TCGA-HZ-8001,1
TCGA-HZ-8002,0
TCGA-HZ-8003,0
TCGA-HZ-8005,1
TCGA-HZ-8315,1
TCGA-HZ-8317,1
TCGA-HZ-8636,1
TCGA-HZ-8637,1
TCGA-HZ-A49G,1
TCGA-HZ-A49H,0
TCGA-HZ-A49I,0
TCGA-HZ-A4BH,1
TCGA-HZ-A77O,0
TCGA-HZ-A8P0,1
TCGA-HZ-A8P1,0
TCGA-IB-7644,1
TCGA-IB-7645,1
TCGA-IB-7646,0
TCGA-IB-7647,1
TCGA-IB-7649,0
TCGA-IB-7651,0
TCGA-IB-7652,1
TCGA-IB-7654,1
TCGA-IB-7885,1
TCGA-IB-7886,1
TCGA-IB-7887,1
TCGA-IB-7888,1
TCGA-IB-7889,1
TCGA-IB-7890,1
TCGA-IB-7891,0
TCGA-IB-7893,0
TCGA-IB-7897,1
TCGA-IB-8126,0
TCGA-IB-8127,0
TCGA-IB-A5SO,1
TCGA-IB-A5SP,1
TCGA-IB-A5SQ,1
TCGA-IB-A5SS,1
TCGA-IB-A5ST,1
TCGA-IB-A6UF,1
TCGA-IB-A6UG,0
TCGA-IB-A7LX,0
TCGA-IB-A7M4,1
TCGA-IB-AAUM,0
TCGA-IB-AAUN,1
TCGA-IB-AAUO,1
TCGA-IB-AAUP,1
TCGA-IB-AAUQ,1
TCGA-IB-AAUR,0
TCGA-IB-AAUS,0
TCGA-IB-AAUU,0
TCGA-IB-AAUV,1
TCGA-IB-AAUW,0
TCGA-L1-A7W4,1
TCGA-LB-A7SX,1
TCGA-LB-A8F3,0
TCGA-LB-A9Q5,0
TCGA-M8-A5N4,1
TCGA-OE-A75W,0
TCGA-PZ-A5RE,1
TCGA-Q3-A5QY,0
TCGA-Q3-AA2A,1
TCGA-RB-AA9M,1
TCGA-RL-AAAS,1
TCGA-S4-A8RM,0
TCGA-S4-A8RO,1
TCGA-S4-A8RP,1
TCGA-US-A774,1
TCGA-US-A779,0
TCGA-US-A77G,0
TCGA-US-A77J,1
TCGA-XD-AAUG,1
TCGA-XD-AAUH,0
TCGA-XD-AAUI,1
TCGA-XD-AAUL,1
TCGA-XN-A8T3,1
TCGA-YB-A89D,1
TCGA-YY-A8LH,1
TCGA-Z5-AAPL,1
